Datetime,Open,High,Low,Close,Adj Close,Volume
2023-09-05 09:30:00-04:00,245.0,253.72000122070312,244.86000061035156,252.14999389648438,252.14999389648438,42978033
2023-09-05 10:30:00-04:00,252.14930725097656,253.99000549316406,251.0800018310547,252.2899932861328,252.2899932861328,19399372
2023-09-05 11:30:00-04:00,252.27490234375,255.80999755859375,252.0919952392578,255.514404296875,255.514404296875,15227832
2023-09-05 12:30:00-04:00,255.5500030517578,256.8999938964844,255.13999938964844,255.36000061035156,255.36000061035156,14724897
2023-09-05 13:30:00-04:00,255.35000610351562,257.5,255.10000610351562,257.32159423828125,257.32159423828125,12871130
2023-09-05 14:30:00-04:00,257.3299865722656,258.0,256.5799865722656,257.2749938964844,257.2749938964844,12179750
2023-09-05 15:30:00-04:00,257.2900085449219,257.80499267578125,255.9499969482422,256.4800109863281,256.4800109863281,8191241
2023-09-06 09:30:00-04:00,254.18760681152344,254.82989501953125,245.38999938964844,245.64999389648438,245.64999389648438,39651964
2023-09-06 10:30:00-04:00,245.66000366210938,247.60000610351562,245.05999755859375,247.18919372558594,247.18919372558594,17778505
2023-09-06 11:30:00-04:00,247.17999267578125,249.7041015625,247.1300048828125,249.36000061035156,249.36000061035156,12956554
2023-09-06 12:30:00-04:00,249.36000061035156,251.0800018310547,247.41000366210938,250.57269287109375,250.57269287109375,13957489
2023-09-06 13:30:00-04:00,250.57000732421875,251.98989868164062,250.14999389648438,251.4748992919922,251.4748992919922,12365670
2023-09-06 14:30:00-04:00,251.5,252.44000244140625,250.9600067138672,251.65890502929688,251.65890502929688,11030109
2023-09-06 15:30:00-04:00,251.64999389648438,252.24000549316406,251.23159790039062,251.99000549316406,251.99000549316406,6494587
2023-09-07 09:30:00-04:00,244.0,248.6999969482422,243.26499938964844,245.25929260253906,245.25929260253906,35897863
2023-09-07 10:30:00-04:00,245.26499938964844,246.94000244140625,243.50999450683594,246.07989501953125,246.07989501953125,17260405
2023-09-07 11:30:00-04:00,246.05870056152344,250.38999938964844,246.02000427246094,249.7100067138672,249.7100067138672,14452877
2023-09-07 12:30:00-04:00,249.7100067138672,251.1999969482422,248.91000366210938,250.82000732421875,250.82000732421875,12279241
2023-09-07 13:30:00-04:00,250.88999938964844,252.80999755859375,250.3000030517578,250.84669494628906,250.84669494628906,13165657
2023-09-07 14:30:00-04:00,250.86000061035156,252.19000244140625,250.2100067138672,251.6649932861328,251.6649932861328,11400163
2023-09-07 15:30:00-04:00,251.66909790039062,252.33990478515625,251.0,251.49000549316406,251.49000549316406,7354484
2023-09-08 09:30:00-04:00,251.22000122070312,256.5199890136719,250.30999755859375,254.76499938964844,254.76499938964844,35130817
2023-09-08 10:30:00-04:00,254.8800048828125,255.25,251.39999389648438,253.75999450683594,253.75999450683594,17598415
2023-09-08 11:30:00-04:00,253.75250244140625,254.35000610351562,250.41000366210938,250.52999877929688,250.52999877929688,13598223
2023-09-08 12:30:00-04:00,250.50390625,250.88999938964844,246.6699981689453,247.33399963378906,247.33399963378906,18135137
